"[23, 26, 26, 30, 31, 31, 39, 43, 43, 44, 48, 55, 71, 113, 124]" "[30, 35, 39, 39, 39, 48, 74, 74, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 31, 31, 39, 39, 43, 43, 44, 48, 48, 71, 74, 74, 113]" "[26, 30, 30, 35, 39, 39, 55, 74, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 31, 31, 39, 39, 39, 43, 44, 48, 48, 71, 74, 74, 113]" "[26, 26, 30, 35, 39, 43, 55, 74, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 31, 31, 39, 43, 43, 44, 48, 48, 71, 74, 74, 74, 74]" "[26, 26, 30, 35, 39, 39, 39, 55, 108, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 30, 35, 39, 71, 74, 74, 108, 113, 124]" "[26, 31, 31, 39, 39, 39, 43, 43, 44, 48, 48, 55, 74, 74, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 35, 39, 39, 71, 108, 113, 113, 124]" "[30, 31, 31, 39, 39, 43, 43, 44, 48, 48, 55, 74, 74, 74, 74]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 35, 39, 43, 43, 55, 71, 74, 108, 113, 113]" "[26, 26, 30, 31, 31, 39, 39, 39, 44, 48, 48, 74, 74, 74, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 39, 44, 48, 48, 55, 74, 74, 74, 124]" "[30, 35, 39, 39, 39, 43, 43, 71, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 39, 39, 39, 43, 43, 48, 55, 74, 113, 113]" "[26, 30, 35, 39, 44, 48, 71, 74, 74, 74, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 35, 39, 44, 48, 74, 74, 74, 74, 108, 124]" "[26, 26, 30, 31, 31, 39, 39, 39, 43, 43, 48, 55, 71, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 39, 39, 39, 44, 48, 71, 74, 113, 113]" "[30, 35, 39, 43, 43, 48, 55, 74, 74, 74, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 31, 31, 39, 39, 39, 43, 43, 48, 55, 74, 74, 74, 108]" "[26, 30, 30, 35, 39, 44, 48, 71, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 35, 39, 44, 48, 74, 74, 113, 113, 124]" "[26, 26, 31, 31, 39, 39, 39, 43, 43, 48, 55, 71, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 39, 39, 43, 55, 74, 74, 74, 74, 108]" "[30, 35, 39, 39, 43, 44, 48, 48, 71, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 39, 39, 39, 43, 43, 71, 74, 108, 124]" "[30, 35, 39, 44, 48, 48, 55, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 35, 39, 44, 55, 71, 74, 113, 113, 124]" "[26, 30, 31, 31, 39, 39, 39, 43, 43, 48, 48, 74, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 39, 39, 43, 43, 48, 48, 55, 74, 108, 113]" "[30, 30, 35, 39, 39, 44, 71, 74, 74, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 39, 43, 43, 48, 48, 55, 74, 74, 74, 108]" "[26, 30, 35, 39, 39, 39, 44, 71, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 39, 39, 39, 43, 48, 48, 55, 74, 108, 113]" "[26, 30, 35, 39, 43, 44, 71, 74, 74, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 35, 39, 39, 39, 44, 74, 74, 113, 113, 124]" "[26, 26, 30, 31, 31, 39, 43, 43, 48, 48, 55, 71, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 35, 39, 43, 44, 74, 74, 74, 74, 113, 124]" "[26, 26, 30, 31, 31, 39, 39, 39, 43, 48, 48, 55, 71, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 39, 39, 39, 44, 48, 71, 74, 74, 74, 108]" "[30, 30, 35, 39, 43, 43, 48, 55, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 31, 31, 39, 39, 39, 43, 43, 44, 55, 74, 74, 74, 108]" "[26, 26, 30, 35, 39, 48, 48, 71, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 35, 39, 48, 48, 74, 74, 113, 113, 124]" "[26, 30, 31, 31, 39, 39, 39, 43, 43, 44, 55, 71, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 39, 39, 43, 43, 44, 48, 55, 74, 108, 113]" "[26, 30, 35, 39, 39, 48, 71, 74, 74, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 35, 39, 39, 48, 74, 74, 74, 74, 113, 124]" "[26, 26, 30, 31, 31, 39, 39, 43, 43, 44, 48, 55, 71, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 39, 39, 39, 43, 44, 48, 55, 71, 108, 124]" "[30, 30, 35, 39, 43, 48, 74, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 39, 44, 48, 48, 71, 74, 74, 74, 108]" "[30, 35, 39, 39, 39, 43, 43, 55, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 35, 39, 39, 43, 43, 71, 74, 113, 113, 124]" "[26, 26, 30, 31, 31, 39, 39, 44, 48, 48, 55, 74, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 39, 39, 43, 43, 44, 48, 48, 74, 108, 124]" "[30, 30, 35, 39, 39, 55, 71, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 39, 39, 39, 43, 44, 48, 48, 74, 108, 124]" "[26, 30, 35, 39, 43, 55, 71, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 35, 39, 43, 55, 74, 74, 74, 74, 113, 113]" "[26, 26, 30, 31, 31, 39, 39, 39, 43, 44, 48, 48, 71, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 39, 43, 44, 48, 48, 55, 71, 108, 124]" "[30, 35, 39, 39, 39, 43, 74, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 39, 43, 48, 71, 74, 74, 74, 113]" "[30, 30, 39, 39, 43, 44, 48, 55, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 39, 39, 48, 71, 74, 74, 74, 113]" "[26, 30, 39, 43, 43, 44, 48, 55, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 39, 43, 44, 48, 71, 74, 108, 113, 124]" "[26, 26, 31, 31, 35, 39, 39, 39, 43, 48, 55, 74, 74, 74, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 39, 39, 39, 43, 74, 74, 113, 124]" "[30, 39, 43, 44, 48, 48, 55, 71, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 39, 43, 43, 74, 74, 74, 74, 124]" "[30, 39, 39, 39, 44, 48, 48, 55, 71, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 31, 31, 35, 39, 39, 39, 43, 43, 48, 74, 74, 74, 124]" "[26, 26, 30, 39, 44, 48, 55, 71, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 39, 44, 48, 55, 74, 74, 108, 113, 113]" "[26, 30, 31, 31, 35, 39, 39, 39, 43, 43, 48, 71, 74, 74, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 31, 31, 35, 39, 39, 39, 43, 43, 55, 71, 74, 74, 124]" "[26, 30, 30, 39, 44, 48, 48, 74, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 39, 43, 43, 48, 55, 71, 113, 124]" "[30, 30, 39, 39, 44, 48, 74, 74, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 43, 43, 48, 55, 71, 74, 74, 124]" "[26, 30, 39, 39, 39, 44, 48, 74, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 39, 39, 43, 48, 55, 71, 113, 124]" "[26, 30, 39, 43, 44, 48, 74, 74, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 31, 31, 35, 39, 39, 43, 43, 48, 48, 71, 74, 74, 74, 74]" "[26, 26, 30, 30, 39, 39, 44, 55, 108, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 43, 48, 48, 71, 74, 74, 74, 113]" "[30, 39, 39, 39, 39, 43, 44, 55, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 30, 39, 44, 71, 108, 113, 113, 124]" "[31, 31, 35, 39, 39, 39, 43, 43, 48, 48, 55, 74, 74, 74, 74]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 39, 43, 44, 71, 74, 108, 113, 124]" "[26, 26, 30, 31, 31, 35, 39, 43, 48, 48, 55, 74, 74, 74, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 39, 43, 43, 48, 48, 74, 113, 124]" "[26, 30, 39, 39, 44, 55, 71, 74, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 44, 55, 74, 74, 74, 74, 108, 113]" "[26, 26, 30, 31, 31, 35, 39, 39, 43, 43, 48, 48, 71, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 39, 48, 48, 55, 74, 74, 74, 124]" "[30, 30, 39, 39, 43, 43, 44, 71, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 43, 43, 48, 48, 55, 71, 113, 124]" "[30, 39, 39, 39, 39, 44, 74, 74, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 43, 43, 44, 71, 74, 74, 74, 113]" "[30, 30, 39, 39, 39, 48, 48, 55, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 31, 31, 35, 39, 39, 39, 43, 43, 44, 48, 71, 74, 74, 113]" "[26, 26, 30, 30, 39, 48, 55, 74, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 39, 43, 44, 71, 74, 74, 74, 113]" "[26, 30, 39, 39, 43, 48, 48, 55, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 39, 39, 48, 48, 71, 74, 108, 113, 124]" "[26, 26, 31, 31, 35, 39, 39, 43, 43, 44, 55, 74, 74, 74, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 39, 43, 48, 48, 71, 74, 108, 113, 124]" "[26, 30, 31, 31, 35, 39, 39, 39, 43, 44, 55, 74, 74, 74, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 39, 39, 48, 71, 74, 108, 113, 124]" "[26, 26, 30, 31, 31, 35, 43, 43, 44, 48, 55, 74, 74, 74, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 39, 43, 48, 55, 71, 74, 108, 113, 113]" "[26, 26, 31, 31, 35, 39, 39, 39, 43, 44, 48, 74, 74, 74, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 43, 44, 48, 55, 74, 74, 74, 124]" "[30, 30, 39, 39, 39, 43, 48, 71, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 39, 39, 44, 48, 55, 74, 113, 124]" "[30, 30, 39, 43, 43, 48, 71, 74, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 39, 43, 43, 44, 55, 71, 113, 124]" "[26, 30, 39, 39, 48, 48, 74, 74, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 39, 44, 48, 55, 74, 74, 74, 124]" "[26, 30, 39, 39, 43, 43, 48, 71, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 43, 43, 48, 74, 74, 108, 113, 113]" "[26, 26, 30, 31, 31, 35, 39, 39, 44, 48, 55, 71, 74, 74, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 30, 39, 43, 43, 55, 108, 113, 113, 124]" "[26, 31, 31, 35, 39, 39, 39, 44, 48, 48, 71, 74, 74, 74, 74]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 31, 31, 35, 39, 43, 43, 44, 48, 48, 71, 74, 74, 113]" "[26, 26, 30, 39, 39, 39, 55, 74, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 31, 31, 35, 39, 44, 48, 48, 55, 71, 74, 74, 74, 74]" "[26, 30, 30, 39, 39, 39, 43, 43, 108, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 39, 39, 71, 74, 74, 108, 113, 124]" "[30, 31, 31, 35, 39, 39, 43, 43, 44, 48, 48, 55, 74, 74, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 39, 43, 55, 71, 74, 108, 113, 113]" "[26, 26, 30, 31, 31, 35, 39, 43, 44, 48, 48, 74, 74, 74, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 43, 43, 55, 71, 74, 74, 74, 108, 113]" "[26, 26, 30, 31, 31, 35, 39, 39, 39, 44, 48, 48, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 31, 31, 35, 39, 39, 39, 43, 44, 48, 48, 55, 74, 74, 124]" "[26, 26, 30, 30, 39, 43, 71, 74, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 30, 39, 43, 74, 74, 74, 108, 113, 113]" "[26, 31, 31, 35, 39, 39, 39, 43, 44, 48, 48, 55, 71, 74, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 39, 44, 48, 48, 55, 74, 113, 124]" "[30, 39, 39, 39, 43, 43, 71, 74, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 39, 39, 48, 48, 71, 74, 113, 113]" "[30, 39, 39, 43, 43, 44, 55, 74, 74, 74, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 43, 43, 44, 71, 74, 74, 74, 108, 124]" "[26, 26, 30, 31, 31, 35, 39, 39, 39, 48, 48, 55, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 39, 39, 43, 44, 71, 74, 113, 113]" "[30, 30, 39, 43, 48, 48, 55, 74, 74, 74, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 39, 43, 44, 48, 71, 74, 113, 113]" "[30, 39, 39, 39, 43, 48, 55, 74, 74, 74, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 43, 48, 71, 74, 74, 74, 108, 124]" "[26, 26, 30, 31, 31, 35, 39, 39, 43, 44, 48, 55, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 31, 31, 35, 39, 39, 43, 43, 44, 48, 48, 71, 113, 113]" "[26, 30, 30, 39, 39, 55, 74, 74, 74, 74, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 31, 31, 35, 39, 39, 39, 43, 44, 48, 48, 71, 113, 113]" "[26, 26, 30, 39, 43, 55, 74, 74, 74, 74, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 30, 39, 71, 74, 74, 74, 74, 108, 124]" "[26, 31, 31, 35, 39, 39, 39, 43, 43, 44, 48, 48, 55, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 44, 48, 48, 55, 71, 113, 113, 124]" "[26, 26, 30, 31, 31, 35, 39, 39, 43, 43, 74, 74, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 31, 31, 35, 39, 39, 39, 43, 43, 48, 55, 74, 108, 113]" "[26, 30, 30, 39, 44, 48, 71, 74, 74, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 39, 44, 48, 74, 74, 74, 74, 113, 124]" "[26, 26, 31, 31, 35, 39, 39, 39, 43, 43, 48, 55, 71, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 39, 39, 43, 55, 74, 74, 108, 113]" "[30, 39, 39, 43, 44, 48, 48, 71, 74, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 43, 43, 55, 74, 74, 74, 74, 108]" "[30, 39, 39, 39, 39, 44, 48, 48, 71, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 31, 31, 35, 39, 39, 43, 43, 48, 55, 74, 74, 74, 108]" "[26, 26, 30, 39, 39, 44, 48, 71, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 39, 39, 44, 48, 74, 74, 113, 113, 124]" "[26, 30, 31, 31, 35, 39, 39, 43, 43, 48, 55, 71, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 39, 39, 39, 48, 74, 74, 108, 124]" "[30, 39, 43, 43, 44, 48, 55, 71, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 39, 48, 48, 71, 74, 74, 74, 108]" "[30, 30, 39, 39, 43, 43, 44, 55, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 39, 44, 55, 71, 74, 74, 74, 113, 124]" "[26, 30, 31, 31, 35, 39, 39, 39, 43, 43, 48, 48, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 39, 43, 43, 44, 71, 74, 113, 113, 124]" "[26, 26, 31, 31, 35, 39, 39, 39, 48, 48, 55, 74, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 43, 43, 48, 48, 55, 74, 108, 113]" "[26, 30, 39, 39, 39, 44, 71, 74, 74, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 39, 44, 74, 74, 74, 74, 113, 124]" "[26, 26, 30, 31, 31, 35, 39, 43, 43, 48, 48, 55, 71, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 39, 43, 48, 48, 55, 71, 108, 124]" "[30, 30, 39, 39, 43, 44, 74, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 39, 39, 48, 48, 55, 71, 108, 124]" "[26, 30, 39, 43, 43, 44, 74, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 43, 44, 48, 71, 74, 74, 74, 108]" "[30, 30, 39, 39, 39, 43, 48, 55, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 39, 39, 44, 48, 71, 74, 108, 113]" "[30, 30, 39, 43, 43, 48, 55, 74, 74, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 39, 44, 48, 71, 74, 74, 74, 108]" "[26, 30, 39, 39, 43, 43, 48, 55, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 39, 39, 43, 48, 71, 74, 113, 113, 124]" "[26, 26, 31, 31, 35, 39, 39, 43, 44, 48, 55, 74, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 31, 31, 35, 39, 39, 39, 43, 43, 44, 55, 74, 108, 113]" "[26, 26, 30, 39, 48, 48, 71, 74, 74, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 39, 48, 48, 74, 74, 74, 74, 113, 124]" "[26, 30, 31, 31, 35, 39, 39, 39, 43, 43, 44, 55, 71, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 39, 43, 43, 48, 71, 74, 113, 113, 124]" "[26, 30, 31, 31, 35, 39, 39, 39, 44, 48, 55, 74, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 31, 31, 35, 39, 39, 39, 43, 43, 44, 48, 74, 108, 124]" "[26, 30, 30, 39, 48, 55, 71, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 39, 48, 55, 74, 74, 74, 74, 113, 113]" "[26, 26, 31, 31, 35, 39, 39, 39, 43, 43, 44, 48, 71, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 39, 39, 43, 44, 74, 74, 108, 124]" "[30, 39, 39, 43, 48, 48, 55, 71, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 31, 31, 35, 39, 43, 43, 44, 48, 55, 71, 108, 124]" "[30, 30, 39, 39, 39, 48, 74, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 39, 43, 44, 48, 55, 71, 108, 124]" "[26, 30, 39, 39, 43, 48, 74, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 31, 31, 35, 39, 39, 39, 43, 44, 48, 48, 71, 74, 74, 108]" "[26, 26, 30, 30, 39, 43, 55, 74, 74, 113, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 31, 31, 35, 39, 44, 48, 48, 71, 74, 108, 113]" "[30, 39, 39, 39, 43, 43, 55, 74, 74, 74, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 39, 39, 43, 71, 74, 113, 113, 124]" "[26, 26, 30, 31, 31, 35, 43, 44, 48, 48, 55, 74, 74, 74, 108]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 43, 43, 71, 74, 74, 74, 113, 124]" "[26, 26, 30, 31, 31, 35, 39, 39, 44, 48, 48, 55, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 31, 31, 35, 39, 43, 43, 44, 48, 48, 74, 108, 124]" "[26, 30, 39, 39, 39, 55, 71, 74, 74, 74, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 39, 39, 39, 55, 74, 74, 74, 74, 113, 113]" "[26, 26, 30, 31, 31, 35, 39, 43, 43, 44, 48, 48, 71, 108, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 35, 39, 39, 44, 48, 48, 55, 71, 108, 113, 124]" "[26, 26, 30, 30, 31, 31, 39, 39, 43, 43, 74, 74, 74, 74, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 30, 31, 31, 43, 43, 55, 74, 74, 74, 74, 113]" "[35, 39, 39, 39, 39, 44, 48, 48, 71, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 35, 39, 44, 48, 48, 108, 113, 113, 124]" "[30, 30, 31, 31, 39, 39, 39, 43, 43, 55, 71, 74, 74, 74, 74]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 31, 31, 39, 39, 43, 43, 48, 55, 74, 74, 74, 113]" "[26, 26, 35, 39, 39, 44, 48, 71, 74, 108, 113, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 35, 39, 39, 44, 48, 74, 74, 108, 113, 124]" "[26, 30, 30, 31, 31, 39, 39, 43, 43, 48, 55, 71, 74, 74, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 30, 31, 31, 39, 39, 39, 48, 74, 74, 113, 124]" "[35, 39, 43, 43, 44, 48, 55, 71, 74, 74, 108, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 30, 31, 31, 39, 43, 48, 74, 74, 74, 74, 124]" "[35, 39, 39, 39, 43, 44, 48, 55, 71, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 26, 30, 30, 31, 31, 39, 39, 55, 71, 74, 74, 74, 124]" "[35, 39, 39, 43, 43, 44, 48, 48, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 30, 30, 31, 31, 39, 39, 39, 43, 48, 48, 74, 74, 74, 124]" "[26, 26, 35, 39, 43, 44, 55, 71, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 35, 39, 43, 44, 55, 74, 74, 108, 113, 113]" "[26, 30, 30, 31, 31, 39, 39, 39, 43, 48, 48, 71, 74, 74, 124]" "[39, 59, 74, 92, 113, 113, 122, 135]"
"[23, 26, 30, 30, 31, 31, 39, 43, 48, 48, 55, 71, 74, 74, 124]" "[26, 35, 39, 39, 39, 43, 44, 74, 74, 108, 113, 113]" "[39, 59, 74, 92, 113, 113, 122, 135]"
